photo_id,species,marked,inat_url,month,ID,InBurnArea,burnseverity,longitude,latitude,Deciduous,Notes
224369941,Populus tremuloides,0,https://www.inaturalist.org/photos/224369941,8,132,0,1,-105.24,40.7,1,"Tree is too big to be postire, but seedlings present"
161642511,NA,0,https://www.inaturalist.org/photos/161642511,9,133,1,2,-105.49,40.68,0,
191455151,Ribes cereum,0,https://www.inaturalist.org/photos/191455151,4,134,0,NA,-105.53,40.7,0,Shrub
19207523,Rubus deliciosus,0,https://www.inaturalist.org/photos/19207523,5,135,1,1,-105.31,40.69,0,Shrub
96273171,NA,0,https://www.inaturalist.org/photos/96273171,9,136,1,1,-105.31,40.71,0,Likely Shrub
400111862,Eriosoma americanum,0,https://www.inaturalist.org/photos/400111862,6,137,0,1,-105.24,40.7,1,Likely tree
201128953,Pinus ponderosa,0,https://www.inaturalist.org/photos/201128953,6,138,0,NA,-105.19,40.57,0,
41798329,Ribes lacustre,0,https://www.inaturalist.org/photos/41798329,5,139,1,1,-105.31,40.69,0,Shrub
351669851,Berberis repens,0,https://www.inaturalist.org/photos/351669851,2,140,1,1,-105.3,40.7,0,Shrub
390752077,Rhus trilobata,0,https://www.inaturalist.org/photos/390752077,6,141,NA,1,-105.18,40.58,0,Shrub
29652278,Alces alces,0,https://www.inaturalist.org/photos/29652278,6,142,0,NA,-105.54,40.58,1,Likely tree
424968949,Purshia tridentata,0,https://www.inaturalist.org/photos/424968949,8,143,0,1,-105.29,40.7,0,Shrub
142457053,Acer glabrum,0,https://www.inaturalist.org/photos/142457053,7,144,1,2,-105.3,40.65,1,
199862392,Alnus incana,0,https://www.inaturalist.org/photos/199862392,5,145,1,2,-105.36,40.65,1,Alder
80201912,Sambucus racemosa,0,https://www.inaturalist.org/photos/80201912,6,146,0,NA,-105.48,40.57,1,
404341189,Toxicodendron rydbergii,0,https://www.inaturalist.org/photos/404341189,7,147,NA,1,-105.18,40.59,0,
151129905,NA,0,https://www.inaturalist.org/photos/151129905,8,148,NA,NA,-105.49,40.75,0,Shrub
249492590,Alnus incana,0,https://www.inaturalist.org/photos/249492590,10,149,0,1,-105.24,40.7,1,Alder
4492278,NA,0,https://www.inaturalist.org/photos/4492278,8,150,0,3,-105.34,40.59,1,Likely tree
283825870,Acer negundo,0,https://www.inaturalist.org/photos/283825870,5,151,1,3,-105.31,40.68,1,
74609864,Betula occidentalis,0,https://www.inaturalist.org/photos/74609864,5,152,NA,1,-105.18,40.58,1,
76403853,NA,0,https://www.inaturalist.org/photos/76403853,5,153,0,1,-105.2,40.58,0,Shrub
160125272,Linaria dalmatica,0,https://www.inaturalist.org/photos/160125272,9,154,1,1,-105.31,40.7,0,
233002577,Callospermophilus lateralis,0,https://www.inaturalist.org/photos/233002577,9,155,0,NA,-105.53,40.59,0,Tree is too big to be postfire
404509399,Festuca kingii,0,https://www.inaturalist.org/photos/404509399,6,156,1,2,-105.41,40.59,0,
424969300,NA,0,https://www.inaturalist.org/photos/424969300,8,157,0,1,-105.29,40.7,0,Shrub
234421342,Rhus trilobata,0,https://www.inaturalist.org/photos/234421342,9,158,1,1,-105.35,40.69,0,Shrub
