photo_id,species,marked,inat_url,month,ID,InBurnArea,burnseverity,longitude,latitude,Coniferous,Notes
343780223,Pinus ponderosa,0,https://www.inaturalist.org/photos/343780223,12,81,1,1,-105.31,40.7,1,"Tree is a little big, but photo was taken in 2023 so it could be ~11 years old. Keep tentatively "
320211214,Pinus ponderosa,0,https://www.inaturalist.org/photos/320211214,9,82,1,4,-105.33,40.66,1,
363036906,Pinus ponderosa,0,https://www.inaturalist.org/photos/363036906,4,83,0,NA,-105.18,40.57,0,
416719016,Spiranthes romanzoffiana,0,https://www.inaturalist.org/photos/416719016,8,84,1,3,-105.51,40.61,0,"Possible, could not confirm seedlings"
236651624,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/236651624,10,85,1,1,-105.19,40.58,0,
404354889,Pinus ponderosa,0,https://www.inaturalist.org/photos/404354889,7,86,1,1,-105.19,40.58,1,"Trees are a little big, but photo was taken in 2024 so it could be ~12 years old. Keep tentatively "
75276939,NA,0,https://www.inaturalist.org/photos/75276939,5,87,0,NA,-105.5,40.69,0,"Possible, could not confirm seedlings"
223172287,Artemisia dracunculus,0,https://www.inaturalist.org/photos/223172287,8,88,1,1,-105.23,40.67,0,
129872224,NA,0,https://www.inaturalist.org/photos/129872224,5,89,0,1,-105.18,40.58,1,"Trees are a little big, but photo was taken in 2021 so it could be ~9 years old. Keep tentatively "
132781891,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/132781891,5,90,0,NA,-105.54,40.69,0,
424972263,Pinus ponderosa,0,https://www.inaturalist.org/photos/424972263,8,91,0,1,-105.29,40.7,0,
234594499,Adelges cooleyi,0,https://www.inaturalist.org/photos/234594499,9,92,1,1,-105.35,40.69,0,
201422869,NA,0,https://www.inaturalist.org/photos/201422869,5,93,0,NA,-105.23,40.7,0,"Possible, could not confirm seedlings"
142454844,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/142454844,7,94,1,2,-105.3,40.65,0,"Possible, could not confirm seedlings"
220999642,NA,0,https://www.inaturalist.org/photos/220999642,7,95,0,1,-105.2,40.59,1,
152629460,Artemisia frigida,0,https://www.inaturalist.org/photos/152629460,8,96,0,NA,-105.19,40.57,0,
220999520,NA,0,https://www.inaturalist.org/photos/220999520,7,97,0,1,-105.2,40.59,1,"Tree is a little big, but photo was taken in 2022 so it could be ~10 years old. Keep tentatively "
147899546,Sciurus aberti,0,https://www.inaturalist.org/photos/147899546,8,98,1,2,-105.3,40.65,0,"Possible, could not confirm seedlings"
231241226,Juniperus scopulorum,0,https://www.inaturalist.org/photos/231241226,9,99,0,1,-105.48,40.68,0,Juniper
195464921,NA,0,https://www.inaturalist.org/photos/195464921,5,100,1,3,-105.31,40.68,0,
234594378,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/234594378,9,101,1,1,-105.35,40.69,0,"Possible, could not confirm seedlings"
68129559,Pinus ponderosa,0,https://www.inaturalist.org/photos/68129559,4,102,0,NA,-105.54,40.75,1,"Possible, likely seedlings"
237458237,Cyanocitta stelleri,0,https://www.inaturalist.org/photos/237458237,10,103,1,1,-105.19,40.58,1,"Possible, likely seedlings"
350238170,Pinus ponderosa,0,https://www.inaturalist.org/photos/350238170,2,104,0,NA,-105.19,40.57,0,
68129515,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/68129515,4,105,0,NA,-105.54,40.75,0,
288609320,NA,0,https://www.inaturalist.org/photos/288609320,6,106,0,NA,-105.54,40.7,0,
424976514,NA,0,https://www.inaturalist.org/photos/424976514,8,107,0,1,-105.29,40.7,0,
425180391,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/425180391,6,108,0,1,-105.24,40.7,0,
281060796,Odocoileus hemionus,0,https://www.inaturalist.org/photos/281060796,5,109,0,1,-105.18,40.59,1,"Tree is a little big, but photo was taken in 2023 so it could be ~11 years old. Keep tentatively "
191454043,Pinus ponderosa,0,https://www.inaturalist.org/photos/191454043,4,110,0,NA,-105.53,40.7,1,
413254246,NA,0,https://www.inaturalist.org/photos/413254246,7,111,0,1,-105.18,40.58,1,
34667223,Pinus ponderosa,0,https://www.inaturalist.org/photos/34667223,4,112,0,1,-105.23,40.71,0,
121838036,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/121838036,4,113,1,3,-105.5,40.67,0,
425180402,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/425180402,6,114,0,1,-105.24,40.7,1,"Possible, likely seedlings"
10698192,Pinus contorta,0,https://www.inaturalist.org/photos/10698192,9,115,0,NA,-105.19,40.57,1,
331487073,NA,0,https://www.inaturalist.org/photos/331487073,10,116,1,1,-105.19,40.58,0,
307235503,Silene latifolia,0,https://www.inaturalist.org/photos/307235503,7,117,1,1,-105.34,40.69,1,
150459101,Canis latrans,0,https://www.inaturalist.org/photos/150459101,8,118,1,2,-105.3,40.64,0,
322564877,Pinus ponderosa,0,https://www.inaturalist.org/photos/322564877,9,119,0,1,-105.29,40.7,0,
401461612,NA,0,https://www.inaturalist.org/photos/401461612,6,120,0,1,-105.47,40.58,0,
41865605,Descurainia sophia,0,https://www.inaturalist.org/photos/41865605,6,121,0,2,-105.25,40.7,0,
380751228,Loxia curvirostra,0,https://www.inaturalist.org/photos/380751228,5,122,0,NA,-105.49,40.69,0,"Possible, could not confirm seedlings"
75779162,NA,0,https://www.inaturalist.org/photos/75779162,5,123,0,NA,-105.47,40.69,0,Juniper
68973706,Juniperus communis,0,https://www.inaturalist.org/photos/68973706,4,124,1,2,-105.44,40.68,0,Juniper
352304040,NA,0,https://www.inaturalist.org/photos/352304040,2,125,1,1,-105.31,40.71,1,
343779549,NA,0,https://www.inaturalist.org/photos/343779549,12,126,1,1,-105.31,40.7,0,"Possible, could not confirm seedlings"
326404135,Certhia americana,0,https://www.inaturalist.org/photos/326404135,10,127,1,1,-105.19,40.58,0,
159294667,Juniperus communis,0,https://www.inaturalist.org/photos/159294667,9,128,0,1,-105.18,40.59,0,Juniper
72110266,NA,0,https://www.inaturalist.org/photos/72110266,5,129,1,2,-105.36,40.65,1,
404343449,Pinus ponderosa,0,https://www.inaturalist.org/photos/404343449,7,130,0,1,-105.19,40.59,0,
226469390,Pinus ponderosa,0,https://www.inaturalist.org/photos/226469390,8,131,0,NA,-105.19,40.57,0,
425180352,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/425180352,6,132,0,1,-105.24,40.7,0,"Possible, could not confirm seedlings"
201422903,NA,0,https://www.inaturalist.org/photos/201422903,5,133,0,NA,-105.23,40.7,0,
300956137,NA,0,https://www.inaturalist.org/photos/300956137,7,134,0,NA,-105.18,40.57,0,"Possible, could not confirm seedlings"
234815041,Pseudotsuga menziesii,0,https://www.inaturalist.org/photos/234815041,9,135,1,2,-105.35,40.68,0,"Possible, could not confirm seedlings"
362720157,Juniperus communis,0,https://www.inaturalist.org/photos/362720157,4,136,1,1,-105.19,40.58,0,Juniper
74610023,Pinus ponderosa,0,https://www.inaturalist.org/photos/74610023,5,137,1,1,-105.19,40.58,0,
61933715,NA,0,https://www.inaturalist.org/photos/61933715,2,138,0,NA,-105.54,40.74,0,
37782860,Pinus ponderosa,0,https://www.inaturalist.org/photos/37782860,4,139,1,2,-105.32,40.69,0,
44242037,NA,0,https://www.inaturalist.org/photos/44242037,7,140,0,2,-105.47,40.68,0,
277236077,NA,0,https://www.inaturalist.org/photos/277236077,4,141,1,2,-105.35,40.68,1,"Possible, likely seedlings"
152608266,Eriogonum alatum,0,https://www.inaturalist.org/photos/152608266,8,142,0,NA,-105.19,40.57,0,
9166029,Pinus ponderosa,0,https://www.inaturalist.org/photos/9166029,6,143,1,1,-105.19,40.58,0,
16194710,NA,0,https://www.inaturalist.org/photos/16194710,4,144,0,NA,-105.51,40.69,0,
196795761,Adelges cooleyi,0,https://www.inaturalist.org/photos/196795761,5,145,0,1,-105.24,40.7,0,
