query_annot,query_label,query_url,rank,neighbor_annot,neighbor_label,neighbor_url,distance
173435914,,https://www.inaturalist.org/photos/173435914,2,0108c3e2b,,0108c3e2b.jpg,0.4021834135055542
412948253,,https://www.inaturalist.org/photos/412948253,3,0108c3e2b,,0108c3e2b.jpg,0.4328527450561523
148342705,,https://www.inaturalist.org/photos/148342705,2,03bcfbafc,,03bcfbafc.jpg,0.3084416389465332
149021093,,https://www.inaturalist.org/photos/149021093,2,03bcfbafc,,03bcfbafc.jpg,0.2767332196235657
149021114,,https://www.inaturalist.org/photos/149021114,2,03bcfbafc,,03bcfbafc.jpg,0.271565318107605
6743055,,https://www.inaturalist.org/photos/6743055,3,0dcf2fcf0,,0dcf2fcf0.jpg,0.4517145752906799
242385420,,https://www.inaturalist.org/photos/242385420,2,0dcf2fcf0,,0dcf2fcf0.jpg,0.4878789186477661
249771527,,https://www.inaturalist.org/photos/249771527,3,11d39fc43,,11d39fc43.jpg,0.4742656946182251
314453326,,https://www.inaturalist.org/photos/314453326,3,11d39fc43,,11d39fc43.jpg,0.4944402575492859
148342618,,https://www.inaturalist.org/photos/148342618,1,11f1f53fb,,11f1f53fb.jpg,0.1962484717369079
148635887,,https://www.inaturalist.org/photos/148635887,2,11f1f53fb,,11f1f53fb.jpg,0.195019245147705
16335779,,https://www.inaturalist.org/photos/16335779,3,120105235,,120105235.jpg,0.0931378602981567
127618134,,https://www.inaturalist.org/photos/127618134,1,120105235,,120105235.jpg,0.1090691685676574
92221803,,https://www.inaturalist.org/photos/92221803,2,14940539a,,14940539a.jpg,0.4215500354766845
92221805,,https://www.inaturalist.org/photos/92221805,1,14940539a,,14940539a.jpg,0.3431330919265747
